fight_url,round,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/e2dc4fb7b5c0ce76,3,Jamie Mullarkey Rolando Bedoya,,,,1 of 5 2 of 5,,,,,3 of 7 5 of 9,,,0
http://ufcstats.com/fight-details/81127436605d3c88,3,Colby Thicknesse Josias Musasa,,,,38 of 70 9 of 20,,,,,6 of 12 9 of 20,,,0
http://ufcstats.com/fight-details/44cd8c9f622e155f,3,Michelle Montague Luana Carolina,,,,8 of 28 11 of 20,,,,,5 of 24 23 of 34,,,0
http://ufcstats.com/fight-details/140937779a2466a7,1,Brando Pericic Elisha Ellison,,,,23 of 42 2 of 8,,,,,11 of 20 2 of 8,,,0
http://ufcstats.com/fight-details/e35f7504d83b8b07,3,Loma Lookboonmee Alexia Thainara,,,,9 of 14 16 of 35,,,,,14 of 20 12 of 30,,,0
http://ufcstats.com/fight-details/de1a3734be60e6a1,2,Diego Lopes Jean Silva,,,,36 of 67 5 of 11,,,,,14 of 24 10 of 20,,,0
http://ufcstats.com/fight-details/944b929130b23c2a,3,Rob Font David Martinez,,,,11 of 48 7 of 25,,,,,11 of 51 22 of 45,,,0
http://ufcstats.com/fight-details/7cbfeba85f86d1bf,3,Rafa Garcia Jared Gordon,,,,15 of 33 16 of 55,,,,,20 of 39 23 of 64,,,0
http://ufcstats.com/fight-details/114d2f6fcd3f6f00,3,Kelvin Gastelum Dustin Stoltzfus,,,,4 of 14 3 of 23,,,,,14 of 25 20 of 44,,,0
http://ufcstats.com/fight-details/202c47db69768356,2,Alexander Hernandez Diego Ferreira,,,,7 of 28 3 of 29,,,,,12 of 36 11 of 51,,,0
http://ufcstats.com/fight-details/8a884a7930d75ca9,1,Santiago Luna Quang Le,,,,13 of 38 9 of 19,,,,,9 of 33 10 of 22,,,0
http://ufcstats.com/fight-details/07a378b257aad5a9,1,Jose Daniel Medina Dusko Todorovic,,,,5 of 17 10 of 18,,,,,9 of 24 10 of 18,,,0
