fight_url,fighter,kd,sig_landed,sig_attempted,sig_pct,tot_landed,tot_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec
http://ufcstats.com/fight-details/8a884a7930d75ca9,Santiago Luna Quang Le,,,,37% 50%,,,,,0% 0%,,,47
http://ufcstats.com/fight-details/07a378b257aad5a9,Jose Daniel Medina Dusko Todorovic,,,,36% 66%,,,,,--- 100%,,,0
http://ufcstats.com/fight-details/352839a03b428e74,Claudio Puelles Joaquim Silva,,,,37% 0%,,,,,66% ---,,,262
http://ufcstats.com/fight-details/9474f64347aade7a,Tatiana Suarez Amanda Lemos,,,,70% 83%,,,,,20% ---,,,178
http://ufcstats.com/fight-details/3dc1a6335d890650,Jesus Aguilar Luis Gurule,,,,47% 24%,,,,,50% ---,,,18
http://ufcstats.com/fight-details/d822ebc7dbc6c259,Zach Reese Sedriques Dumas,,,,28% 30%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/a1e193425e716b42,Alessandro Costa Alden Coria,,,,20% 35%,,,,,0% ---,,,1
http://ufcstats.com/fight-details/c4a6174b0698652e,Montse Rendon Alice Pereira,,,,27% 34%,,,,,0% ---,,,21
http://ufcstats.com/fight-details/3dd2fde7bff79c51,Rodrigo Sezinando Daniil Donchenko,,,,27% 57%,,,,,25% 33%,,,62
http://ufcstats.com/fight-details/5bcd8abf6da01dae,Nassourdine Imavov Caio Borralho,,,,55% 27%,,,,,--- 0%,,,0
http://ufcstats.com/fight-details/d14fea43712707f0,Benoit Saint Denis Mauricio Ruffy,,,,33% 16%,,,,,40% ---,,,184
http://ufcstats.com/fight-details/0149e875b31e57f8,Modestas Bukauskas Paul Craig,,,,61% 42%,,,,,--- 0%,,,110
http://ufcstats.com/fight-details/69b31593175f77ec,Bolaji Oki Mason Jones,,,,39% 35%,,,,,--- 100%,,,21
http://ufcstats.com/fight-details/a47123ae6e048f11,Axel Sola Rhys McKee,,,,36% 15%,,,,,33% ---,,,131
http://ufcstats.com/fight-details/b53031bf4bd0a330,William Gomis Robert Ruchala,,,,46% 34%,,,,,--- 100%,,,1
http://ufcstats.com/fight-details/4080b4310d82b42d,Oumar Sy Brendson Ribeiro,,,,39% 35%,,,,,50% ---,,,208
http://ufcstats.com/fight-details/23dbe713c4294c66,Marcin Tybura Ante Delija,,,,44% 46%,,,,,--- ---,,,78
http://ufcstats.com/fight-details/5cd2dd6075fadcce,Harry Hardwick Kaue Fernandes,,,,34% 60%,,,,,--- ---,,,0
http://ufcstats.com/fight-details/420211200a35c1d1,Sam Patterson Trey Waters,,,,52% 47%,,,,,--- ---,,,0
